emotion,essay,Unnamed: 2
guilt,knew take exam soon yet couldnt start studying also knew imprtant succeed exam time,
joy,christmas holiday started felt joyful finished last exam,
fear,raped went dark alley back house man pushed bushes fought back succeeded escape,
anger,angry father didnt give much money brother use studying brother better,
sadness,gradmother died felt sad feeling started worse,
disgust,ate rotten apple,
shame,didnt meet appointment made person phoned thought something told ill didnt go,
guilt,take exams excited much time housekeeping friend everything,
joy,boyfriend playing cat playing games telling nice things,
fear,slept first time alone house live man phoned wanted something afraid,
anger,boyfriend told high demands towards opinion wrong,
sadness,hadnt parents place long time went visit high expectations different expected,
disgust,read story newspaper butchers treating animals badly disgusted,
shame,eating nice restaurant servant asked whether liked food told liked one thing wasnt good servant worked hard make good,
guilt,weeks ago thought exam take soon remembered go sleep felt guilt beginning year planned succeed,
joy,high school time succeeded play concert mozart piano gave first performance succeeded play well,
fear,car ran moment felt street thought end going die,
anger,cat killed caraccident angry driver car didnt take enough care,
sadness,boy love much asked dinner refused dont know didnt go felt lonely,
disgust,saw dog eating excrements,
shame,highschool time chairman students comitee function make speech large audience nervous three sentences forgot text,
guilt,holiday eastgermany got aquainted boy lived started writing wrote felt ashamed probably one sparse contacts western europe,
joy,saw good friend seen long time,
fear,slipped glazed frost road car almost ran,
anger,people without permission pry belongings take things,
sadness,noticed parents prosperity people surroundings,
disgust,seeing pornographic movie animals used,
shame,went first time life nudistbeach,
guilt,caught sneaking sweets,
joy,went visit friend hospital undergo operation rupture glad hear operation succeeded relieved pain,
fear,appointment good friend came hours later agreed upon last hour waiting afraid something might happened usally time,
anger,worked together another student computerassignment didnt best didnt prepare expected explain,
sadness,quarrel good friend fact didnt pay visit expected come hereafter sad became real quarrel,
disgust,hitchhiking man stopped gave lift nijmegen ride asked whether fun man fat tatooed,
shame,forgot something agreed upon good friend,
guilt,became angry friend didnt shopping agreed angry proved without reason felt guilty,
joy,got positive result examination achieve bachelor degree plychology,
fear,years old frequently pursued others got sound thrashes,
anger,girlfriend one day went promised back pm however first arrived pm without message go evening,
